emp_number,satisfaction_level,last_evaluation,number_of_projects,average_monthly_hours,years_at_company,work_accident,left,promotion_last_5years,department,salary
PC_Analytics_1,0.38,0.53,2,157,3,0,1,0,sales,low
PC_Analytics_2,0.8,0.86,5,262,6,0,1,0,sales,medium
PC_Analytics_3,0.11,0.88,7,272,4,0,1,0,sales,medium
PC_Analytics_4,0.72,0.87,5,223,5,0,1,0,sales,low
PC_Analytics_5,0.37,0.52,2,159,3,0,1,0,sales,low
PC_Analytics_6,0.41,0.5,2,153,3,0,1,0,sales,low
PC_Analytics_7,0.1,0.77,6,247,4,0,1,0,sales,low
PC_Analytics_8,0.92,0.85,5,259,5,0,1,0,sales,low
PC_Analytics_9,0.89,1,5,224,5,0,1,0,sales,low
PC_Analytics_10,0.42,0.53,2,142,3,0,1,0,sales,low
PC_Analytics_11,0.45,0.54,2,135,3,0,1,0,sales,low
PC_Analytics_12,0.11,0.81,6,305,4,0,1,0,sales,low
PC_Analytics_13,0.84,0.92,4,234,5,0,1,0,sales,low
PC_Analytics_14,0.41,0.55,2,148,3,0,1,0,sales,low
PC_Analytics_15,0.36,0.56,2,137,3,0,1,0,sales,low
PC_Analytics_16,0.38,0.54,2,143,3,0,1,0,sales,low
PC_Analytics_17,0.45,0.47,2,160,3,0,1,0,sales,low
PC_Analytics_18,0.78,0.99,4,255,6,0,1,0,sales,low
PC_Analytics_19,0.45,0.51,2,160,3,1,1,1,sales,low
PC_Analytics_20,0.76,0.89,5,262,5,0,1,0,sales,low
PC_Analytics_21,0.11,0.83,6,282,4,0,1,0,sales,low
PC_Analytics_22,0.38,0.55,2,147,3,0,1,0,sales,low
PC_Analytics_23,0.09,0.95,6,304,4,0,1,0,sales,low
PC_Analytics_24,0.46,0.57,2,139,3,0,1,0,sales,low
PC_Analytics_25,0.4,0.53,2,158,3,0,1,0,sales,low
PC_Analytics_26,0.89,0.92,5,242,5,0,1,0,sales,low
PC_Analytics_27,0.82,0.87,4,239,5,0,1,0,sales,low
PC_Analytics_28,0.4,0.49,2,135,3,0,1,0,sales,low
PC_Analytics_29,0.41,0.46,2,128,3,0,1,0,accounting,low
PC_Analytics_30,0.38,0.5,2,132,3,0,1,0,accounting,low
PC_Analytics_31,0.09,0.62,6,294,4,0,1,0,accounting,low
PC_Analytics_32,0.45,0.57,2,134,3,0,1,0,hr,low
PC_Analytics_33,0.4,0.51,2,145,3,0,1,0,hr,low
PC_Analytics_34,0.45,0.55,2,140,3,0,1,0,hr,low
PC_Analytics_35,0.84,0.87,4,246,6,0,1,0,hr,low
PC_Analytics_36,0.1,0.94,6,255,4,0,1,0,technical,low
PC_Analytics_37,0.38,0.46,2,137,3,0,1,0,technical,low
PC_Analytics_38,0.45,0.5,2,126,3,0,1,0,technical,low
PC_Analytics_39,0.11,0.89,6,306,4,0,1,0,technical,low
PC_Analytics_40,0.41,0.54,2,152,3,0,1,0,technical,low
PC_Analytics_41,0.87,0.88,5,269,5,0,1,0,technical,low
PC_Analytics_42,0.45,0.48,2,158,3,0,1,0,technical,low
PC_Analytics_43,0.4,0.46,2,127,3,0,1,0,technical,low
PC_Analytics_44,0.1,0.8,7,281,4,0,1,0,technical,low
PC_Analytics_45,0.09,0.89,6,276,4,0,1,0,technical,low
PC_Analytics_46,0.84,0.74,3,182,4,0,1,0,technical,low
PC_Analytics_47,0.4,0.55,2,147,3,0,1,0,support,low
PC_Analytics_48,0.57,0.7,3,273,6,0,1,0,support,low
PC_Analytics_49,0.4,0.54,2,148,3,0,1,0,support,low
PC_Analytics_50,0.43,0.47,2,147,3,0,1,0,support,low
PC_Analytics_51,0.13,0.78,6,152,2,0,1,0,support,low
PC_Analytics_52,0.44,0.55,2,135,3,0,1,0,support,low
PC_Analytics_53,0.38,0.55,2,134,3,0,1,0,support,low
PC_Analytics_54,0.39,0.54,2,132,3,0,1,0,support,low
PC_Analytics_55,0.1,0.92,7,307,4,0,1,0,support,low
PC_Analytics_56,0.37,0.46,2,140,3,0,1,0,support,low
PC_Analytics_57,0.11,0.94,7,255,4,0,1,0,support,low
PC_Analytics_58,0.1,0.81,6,309,4,0,1,0,technical,low
PC_Analytics_59,0.38,0.54,2,128,3,0,1,0,technical,low
PC_Analytics_60,0.85,1,4,225,5,0,1,0,technical,low
PC_Analytics_61,0.85,0.91,5,226,5,0,1,0,management,medium
PC_Analytics_62,0.11,0.93,7,308,4,0,1,0,IT,medium
PC_Analytics_63,0.1,0.95,6,244,5,0,1,0,IT,medium
PC_Analytics_64,0.36,0.56,2,132,3,0,1,0,IT,medium
PC_Analytics_65,0.11,0.94,6,286,4,0,1,0,IT,medium
PC_Analytics_66,0.81,0.7,6,161,4,0,1,0,IT,medium
PC_Analytics_67,0.43,0.54,2,153,3,0,1,0,product_mng,medium
PC_Analytics_68,0.9,0.98,4,264,6,0,1,0,product_mng,medium
PC_Analytics_69,0.76,0.86,5,223,5,1,1,0,product_mng,medium
PC_Analytics_70,0.43,0.5,2,135,3,0,1,0,product_mng,medium
PC_Analytics_71,0.74,0.99,2,277,3,0,1,0,IT,medium
PC_Analytics_72,0.09,0.77,5,275,4,0,1,0,product_mng,medium
PC_Analytics_73,0.45,0.49,2,149,3,0,1,0,product_mng,high
PC_Analytics_74,0.09,0.87,7,295,4,0,1,0,product_mng,low
PC_Analytics_75,0.11,0.97,6,277,4,0,1,0,product_mng,medium
PC_Analytics_76,0.11,0.79,7,306,4,0,1,0,product_mng,medium
PC_Analytics_77,0.1,0.83,6,295,4,0,1,0,product_mng,medium
PC_Analytics_78,0.4,0.54,2,137,3,0,1,0,marketing,medium
PC_Analytics_79,0.43,0.56,2,157,3,0,1,0,sales,low
PC_Analytics_80,0.39,0.56,2,142,3,0,1,0,accounting,low
PC_Analytics_81,0.45,0.54,2,140,3,0,1,0,support,low
PC_Analytics_82,0.38,0.49,2,151,3,0,1,0,technical,low
PC_Analytics_83,0.79,0.59,4,139,3,0,1,1,management,low
PC_Analytics_84,0.84,0.85,4,249,6,0,1,0,marketing,low
PC_Analytics_85,0.11,0.77,6,291,4,0,1,0,marketing,low
PC_Analytics_86,0.11,0.87,6,305,4,0,1,0,marketing,low
PC_Analytics_87,0.17,0.84,5,232,3,0,1,0,sales,low
PC_Analytics_88,0.44,0.45,2,132,3,0,1,0,sales,low
PC_Analytics_89,0.37,0.57,2,130,3,0,1,0,sales,low
PC_Analytics_90,0.1,0.79,6,291,4,0,1,0,sales,low
PC_Analytics_91,0.4,0.5,2,130,3,0,1,0,sales,low
PC_Analytics_92,0.89,1,5,246,5,0,1,0,sales,low
PC_Analytics_93,0.42,0.48,2,143,3,0,1,0,sales,low
PC_Analytics_94,0.46,0.55,2,129,3,0,1,0,sales,low
PC_Analytics_95,0.09,0.83,6,255,4,0,1,0,sales,low
